app,details,mitre,owner,urlField,usecase
"CyberSentry_Training","Looks at the SMB files being transferred and identifies the more risky file types",tbd,admin,"risky_files_transferred_over_smb",InfoGathering
"log_analysis_made_easy",tbd,tbd,admin,"sa_traffic_for_an_ip",tbd
"log_analysis_made_easy",tbd,tbd,admin,"search_for_a_dashboard",tbd
"lame_training",tbd,tbd,admin,"search_for_queries",tbd
"lame_training",tbd,tbd,admin,"searching_splunk_rest_apis",tbd
search,tbd,tbd,admin,"send_splunk_message",tbd
"log_analysis_made_easy",tbd,tbd,admin,"settokens_dashboardstudio",tbd
"log_analysis_made_easy",tbd,tbd,admin,"software_for_an_ip",tbd
"lame_documentation",tbd,tbd,admin,"sourcetype_analytics",tbd
"CyberSentry_Training",tbd,tbd,tmoore,"sourcetype_documentation",tbd
"lame_analytic_documentation",tbd,tbd,admin,"sourcetype_information",tbd
"CyberSentry_Training","An overview of the SSL Certificates logs across the sites",tbd,admin,"ssl_certificate_information",InfoGathering
"log_analysis_made_easy",tbd,tbd,admin,"subnet_review",tbd
"lame_analytic_documentation",tbd,tbd,admin,"summary_index_information",tbd
"log_analysis_made_easy",tbd,tbd,admin,"test_collapsible",tbd
search,tbd,tbd,admin,testurl,tbd
"log_analysis_made_easy",tbd,tbd,admin,"threathunting_overview_prcess",tbd
"log_analysis_made_easy",tbd,tbd,admin,timebasedqueries,tbd
"log_analysis_made_easy",tbd,tbd,admin,tokentrial,tbd
"log_analysis_made_easy",tbd,tbd,admin,"unknown_ips_seen_on_network",tbd
"lame_training",tbd,tbd,admin,"useful_cli_commands",tbd
"lame_wekan_pm",tbd,tbd,admin,"user_activity_overview",tbd
"lame_training",tbd,tbd,admin,"visual_about_a_dashboard",tbd
"lame_documentation",tbd,tbd,admin,"visual_about_a_dashboard",tbd
"CyberSentry_Training","Training for Volume of Port Traffic information","N/A",admin,"volume_of_port_traffic",Training
"lame_wekan_pm",tbd,tbd,admin,"wekan_lists_drilldown",tbd
"lame_indexes",tbd,tbd,admin,"welcome_page",tbd
"lame_training",tbd,tbd,admin,"welcome_to_splunk",tbd
"log_analysis_made_easy",tbd,tbd,admin,workflowactions,tbd
