description,eventtypes,hosts,indexes,inputlookups,lookups,myapp,outputlookups,queries,sources,sourcetypes,urlField
tbd,,,,"inputlookup lame_training_requirements.csv
inputlookup lame_training_requirements.csv",,"lame_training",,"| inputlookup lame_training_requirements.csv 
| search type=""app""
| eval tag=""csv"" 
| rename name as label
| append 
    [| rest /services/apps/local 
    | search disabled=0 [| inputlookup lame_training_requirements.csv where required=""yes"" AND type=""app"" | table name | rename name as label ] 
    | eval tag=""rest"" ] 
| stats count(eval(tag==""csv"")) as csv count(eval(tag==""rest"")) as rest list(required) as required by label
| eval status=if((rest&gt;0), ""Installed"", ""Missing"") | rename label as app
| table app status",,,"about_this_app"
tbd,,,,"inputlookup lame_training_requirements.csv
inputlookup lame_training_requirements.csv",,"lame_training",,"| inputlookup lame_training_requirements.csv
| search type=""lookup""
| eval tag=""csv"" 
| rename name as title
| append 
    [| rest /servicesNS/-/-/data/lookup-table-files
    | search disabled=0 [| inputlookup lame_training_requirements.csv where required=""yes"" AND type=""lookup"" | table name | rename name as title ] 
    | eval tag=""rest"" ] 
| stats count(eval(tag==""csv"")) as csv count(eval(tag==""rest"")) as rest list(required) as required by title
| eval status=if((rest&gt;0), ""Installed"", ""Missing"") | rename title as lookup_name
| table lookup_name, status",,,"about_this_app"
tbd,,,,"inputlookup lame_training_requirements.csv
inputlookup lame_training_requirements.csv",,"lame_training",,"| inputlookup lame_training_requirements.csv
| search type=""eventtype""
| eval tag=""csv"" 
| rename name as title
| append 
    [|rest servicesNS/-/-/saved/eventtypes
    | search disabled=0 [| inputlookup lame_training_requirements.csv where required=""yes"" AND type=""eventtype"" | table name | rename name as title ] 
    | eval tag=""rest"" ] 
| stats values(search) as search count(eval(tag==""csv"")) as csv count(eval(tag==""rest"")) as rest list(required) as required by title
| eval status=if((rest&gt;0), ""Installed"", ""Missing"") | rename title as eventtype
| table eventtype, status, search",,,"about_this_app"
tbd,,,,"inputlookup lame_training_requirements.csv
inputlookup lame_training_requirements.csv",,"lame_training",,"| inputlookup lame_training_requirements.csv
| search type=""datamodel""
| eval tag=""csv"" 
| rename name as title
| append 
    [ |rest /services/data/models
    | search disabled=0 [| inputlookup lame_training_requirements.csv where required=""yes"" AND type=""datamodel"" | table name | rename name as title ] 
    | eval tag=""rest"" ] 
| stats values(search) as search count(eval(tag==""csv"")) as csv count(eval(tag==""rest"")) as rest list(required) as required by title
| eval status=if((rest&gt;0), ""Installed"", ""Missing"") | rename title as datamodel
| table datamodel, status",,,"about_this_app"
tbd,,,,,,"splunk_monitoring_console",,"
          | `dmc_get_groups_containing_role($role$)`
          | search search_group!=""dmc_group_*""
        ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
        `dmc_set_index_internal` search_group=$role$ search_group=$dmc_group$ sourcetype=wlm_* prefilter_action=filter
        | stats count by search_type
      ",,"sourcetype=wlm_*","admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",," stats sum(count) as total_prefiltered",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            `dmc_event_local_search_dispatch`
            | stats dc(search_id) as total_dispatched
            | eval output_with_percentage = ""$total_prefiltered$""."" ("".round($total_prefiltered$/($total_prefiltered$ + total_dispatched) * 100, 2)."" %)""
            | fields output_with_percentage
          ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            | where search_type=""adhoc""
            | fields count
          ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            | where search_type=""scheduled""
            | fields count
          ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
          `dmc_set_index_internal` search_group=$role$ search_group=$dmc_group$ sourcetype=wlm_* prefilter_action=filter
          | stats count by $SplitByVariable$
        ",,"sourcetype=wlm_*","admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"stats sum(count) as total",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            sort - count
            | eval percent = round(count / $total_prefiltered_searches$ * 100, 2)."" %""
            | rename prefilter_rule as Rule, user as User, app as App, search_type as ""Search Type"", search_name as ""Search Name"", host as Instance, count as Count, percent as ""Percent of Total""
          ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            `dmc_set_index_internal` search_group=$role$ search_group=$dmc_group$ sourcetype=wlm_* search_type=""scheduled*"" prefilter_action=filter
            | stats count as prefiltered_count by prefilter_rule, user, app, host, search_name
            | fields search_name, app, user, host, prefilter_rule, prefiltered_count
            | sort - prefiltered_count
            | rename search_name as ""Search Name"", app as App, user as User, host as Instance, prefilter_rule as ""Prefiltering Rule Triggered"", prefiltered_count as ""Prefiltered Count""
          ",,"sourcetype=wlm_*","admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
            | rest [inputlookup dmc_assets | where host = $scheduled_search_host_drilldown|s$ | rename serverName AS splunk_server | return splunk_server] ""/servicesNS/-/-/saved/searches/$scheduled_search_drilldown$"" earliest_time=`time_modifier(-0s@s)` latest_time=`time_modifier(+8d@d)` search=""is_scheduled=1"" search=""disabled=0""
            | fields cron_schedule, next_scheduled_time, search 
            | rename cron_schedule as ""Cron Schedule"", next_scheduled_time as ""Next Scheduled Time"", search as ""Search""
          ",,,"admission_control_monitoring_distributed"
tbd,,,,,,"splunk_monitoring_console",,"
          | `dmc_get_groups_containing_role($role$)`
          | search search_group!=""dmc_group_*""
        ",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
        `dmc_set_index_internal` host=$host$ sourcetype=wlm_* prefilter_action=filter
        | stats count by search_type
      ",,"sourcetype=wlm_*","admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",," stats sum(count) as total_prefiltered",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            `dmc_event_local_search_dispatch`
            | stats dc(search_id) as total_dispatched
            | eval output_with_percentage = ""$total_prefiltered$""."" ("".round($total_prefiltered$/($total_prefiltered$ + total_dispatched) * 100, 2)."" %)""
            | fields output_with_percentage
          ",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            | where search_type=""adhoc""
            | fields count
          ",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            | where search_type=""scheduled""
            | fields count
          ",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
          `dmc_set_index_internal` sourcetype=wlm_* host=$host$ prefilter_action=filter
          | stats count by $SplitByVariable$
        ",,"sourcetype=wlm_*","admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"stats sum(count) as total",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            sort - count
            | eval percent = round(count / $total_prefiltered_searches$ * 100, 2)."" %""
            | rename prefilter_rule as Rule, user as User, app as App, search_type as ""Search Type"", search_name as ""Search Name"", count as Count, percent as ""Percent of Total""
          ",,,"admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            `dmc_set_index_internal` host=$host$ sourcetype=wlm_* search_type=""scheduled*"" prefilter_action=filter
            | stats count as prefiltered_count by prefilter_rule, user, app, search_name
            | fields search_name, app, user, prefilter_rule, prefiltered_count
            | sort - prefiltered_count
            | rename search_name as ""Search Name"", app as App, user as User, prefilter_rule as ""Prefiltering Rule Triggered"", prefiltered_count as ""Prefiltered Count""
          ",,"sourcetype=wlm_*","admission_control_monitoring_instance"
tbd,,,,,,"splunk_monitoring_console",,"
            | rest splunk_server=$splunk_server$ ""/servicesNS/-/-/saved/searches/$scheduled_search_drilldown$"" earliest_time=`time_modifier(-0s@s)` latest_time=`time_modifier(+8d@d)` search=""is_scheduled=1"" search=""disabled=0""
            | fields cron_schedule, next_scheduled_time, search 
            | rename cron_schedule as ""Cron Schedule"", next_scheduled_time as ""Next Scheduled Time"", search as ""Search""
          ",,,"admission_control_monitoring_instance"
tbd,,,,,"lookup dashboard_details","lame_training",,"| rest splunk_server=local /servicesNS/-/-/data/ui/views
| search eai:acl.app=* AND author!=""nobody""
| table eai:data, app.owner, id, eai:acl.app author, eai:acl.sharing | lookup dashboard_details id as id output details, mitre, usecase


",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",,"| rest /servicesNS/-/-/saved/searches splunk_server=local
| search eai:acl.app=* AND author!=""nobody"" 
| table eai:acl.app, author, cron_schedule is_scheduled, disabled",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",,"| stats count",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",," 
| stats count by author",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",," 
| stats count",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",," 
| stats count by author",,,"analytics_and_knowledge_object_overview"
tbd,,,,,,"lame_training",,"
| eval cron_schedule = case(cron_schedule="""", ""n/a"", 1=1, cron_schedule)
| search eai:acl.app=* AND author!=""nobody"" cron_schedule!=""n/a""  is_scheduled=1 disabled=0
| stats count by author",,,"analytics_and_knowledge_object_overview"
tbd,,,"index=summary",,"lookup dashboard_details","lame_training",,"
| lookup dashboard_details id as id output details, mitre, usecase
| fillnull value=""TBD"" usecase, mitre
| rex field=""id"" ""(?&lt;urlField&gt;[^\/]+)$""

``` extract sourcetype, source, or eventtype field &amp; values; exclude negated matches ```
| rex field=eai:data ""(?&lt;!(?#Skip excluded sourcetypes)\bNOT\s)(?i)(?&lt;sourcetypes&gt;sourcetype(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?&lt;!(?#Skip excluded sources)\bNOT\s)(?i)(?&lt;sources&gt;source(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?&lt;!(?#Skip excluded eventtypes)\bNOT\s)(?i)(?&lt;eventtypes&gt;eventtype(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0

``` extract host and index field &amp; values; exclude negated matches ```
| rex field=eai:data ""(?#Skip excluded hosts)(?&lt;!\bNOT\s)(?i)(?&lt;hosts&gt;host(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?#Skip excluded indexes)(?&lt;!\bNOT\s)(?i)(?&lt;indexes&gt;index(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0

``` extract Lookup, InputLookup, and OutputLookup commands &amp; values; must always be after a pipe character ```
| rex field=eai:data ""(?i)\x7c\s*(?&lt;lookups&gt;lookup\b[\s\x22]+[-.:\w]+)"" max_match=0
| rex field=eai:data ""(?i)\x7c\s*(?&lt;inputlookups&gt;inputlookup\b[\s\x22]+[-.:\w]+)"" max_match=0
| rex field=eai:data ""(?i)\x7c\s*(?&lt;outputlookups&gt;outputlookup\b[\s\x22]+[-.:\w]+)"" max_match=0

``` extract the whole query ```
| rex field=eai:data ""(?s)&lt;query&gt;(?&lt;queries&gt;.*?)&lt;\/query&gt;.*?"" max_match=0

``` Trim extraneous double quotes from captured fields ```
| rex mode=sed field=sourcetypes ""s/\x22//g""
| rex mode=sed field=sources ""s/\x22//g""
| rex mode=sed field=eventtypes ""s/\x22//g""
| rex mode=sed field=hosts ""s/\x22//g""
| rex mode=sed field=indexes ""s/\x22//g""
| rex mode=sed field=lookups ""s/\x22//g""
| rex mode=sed field=inputlookups ""s/\x22//g""
| rex mode=sed field=outputlookups ""s/\x22//g""

| eval datasources=mvdedup(mvappend(sourcetypes, sources, eventtypes, indexes, hosts, lookups, inputlookups, outputlookups))
| table queries, sources, sourcetypes, eventtypes, datasources, app.owner, urlField, eai:acl.app author, eai:acl.sharing details, mitre, usecase

| rename eai:acl.app as myapp

| appendcols

  [ search index=summary source=""dashboard_views""
  | table myapp, file, method, status,  user
  | stats dc(user) as dc_user count by myapp, file
  | rename file as urlField
  | table myapp, urlField, count, dc_user
  ]
| fillnull value=""N/A"" datasources
| mvexpand queries
| search queries!=""|*"" AND queries!=""search*""
| table queries urlField, , myapp  author,
| stats count by myapp","source=dashboard_views",,"analytics_and_knowledge_object_overview"
tbd,,,"index=summary",,"lookup dashboard_details","lame_training",,"
| lookup dashboard_details id as id output details, mitre, usecase
| fillnull value=""TBD"" usecase, mitre
| rex field=""id"" ""(?&lt;urlField&gt;[^\/]+)$""

``` extract sourcetype, source, or eventtype field &amp; values; exclude negated matches ```
| rex field=eai:data ""(?&lt;!(?#Skip excluded sourcetypes)\bNOT\s)(?i)(?&lt;sourcetypes&gt;sourcetype(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?&lt;!(?#Skip excluded sources)\bNOT\s)(?i)(?&lt;sources&gt;source(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?&lt;!(?#Skip excluded eventtypes)\bNOT\s)(?i)(?&lt;eventtypes&gt;eventtype(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0

``` extract host and index field &amp; values; exclude negated matches ```
| rex field=eai:data ""(?#Skip excluded hosts)(?&lt;!\bNOT\s)(?i)(?&lt;hosts&gt;host(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0
| rex field=eai:data ""(?#Skip excluded indexes)(?&lt;!\bNOT\s)(?i)(?&lt;indexes&gt;index(?:\s*(?:=|::)[\s\x22]*[-.:\w\x2a]+|\s+IN\s+\x28[-.:\w,\s]+\x29))"" max_match=0

``` extract Lookup, InputLookup, and OutputLookup commands &amp; values; must always be after a pipe character ```
| rex field=eai:data ""(?i)\x7c\s*(?&lt;lookups&gt;lookup\b[\s\x22]+[-.:\w]+)"" max_match=0
| rex field=eai:data ""(?i)\x7c\s*(?&lt;inputlookups&gt;inputlookup\b[\s\x22]+[-.:\w]+)"" max_match=0
| rex field=eai:data ""(?i)\x7c\s*(?&lt;outputlookups&gt;outputlookup\b[\s\x22]+[-.:\w]+)"" max_match=0

``` extract the whole query ```
| rex field=eai:data ""(?s)&lt;query&gt;(?&lt;queries&gt;.*?)&lt;\/query&gt;.*?"" max_match=0

``` Trim extraneous double quotes from captured fields ```
| rex mode=sed field=sourcetypes ""s/\x22//g""
| rex mode=sed field=sources ""s/\x22//g""
| rex mode=sed field=eventtypes ""s/\x22//g""
| rex mode=sed field=hosts ""s/\x22//g""
| rex mode=sed field=indexes ""s/\x22//g""
| rex mode=sed field=lookups ""s/\x22//g""
| rex mode=sed field=inputlookups ""s/\x22//g""
| rex mode=sed field=outputlookups ""s/\x22//g""

| eval datasources=mvdedup(mvappend(sourcetypes, sources, eventtypes, indexes, hosts, lookups, inputlookups, outputlookups))
| table queries, sources, sourcetypes, eventtypes, datasources, app.owner, urlField, eai:acl.app author, eai:acl.sharing details, mitre, usecase

| rename eai:acl.app as myapp

| appendcols

  [ search index=summary source=""dashboard_views""
  | table myapp, file, method, status,  user
  | stats dc(user) as dc_user count by myapp, file
  | rename file as urlField
  | table myapp, urlField, count, dc_user
  ]
| fillnull value=""N/A"" datasources
| mvexpand queries
| search queries!=""|*"" AND queries!=""search*""
| table queries urlField, , myapp  author,
| stats dc(queries) as queries values(myapp) as myapp  values(author) as author by urlField
| sort - queries","source=dashboard_views",,"analytics_and_knowledge_object_overview"
tbd,,,,,,"splunk_monitoring_console",,"
              | `dmc_get_groups_containing_role(dmc_group_search_head)` 
              | search search_group!=""dmc_group_*""
            ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              | rest splunk_server=$splunk_server$ /services/search/distributed/bundle/replication/config
            ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                | fields replicationPolicy
                | eval replicationPolicy = upper(substr(replicationPolicy,1,1)).substr(replicationPolicy,2)
              ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                | eval replicationThreads = case(isnull(replicationThreads), ""N/A"", isnotnull(replicationThreads), replicationThreads)
                | fields replicationThreads
              ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundles_uploads name=peer_dispatch
                  bundle_type=full_bundle
                  | eval repl_sec = replication_time_msec/1000
                  | stats avg(repl_sec)
                ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundles_uploads name=peer_dispatch
                  bundle_type=delta_bundle
                  | eval repl_sec = replication_time_msec/1000
                  | stats avg(repl_sec)
                ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundle_replication name=bundle_metadata
                  bundle_type=full_bundle
                  | eval size_mb = round(bundle_bytes /1024 / 1024, 2)
                  | stats avg(size_mb)
                  ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundle_replication name=bundle_metadata
                  bundle_type=delta_bundle
                  | eval size_mb = round(bundle_bytes /1024 / 1024, 2)
                  | stats avg(size_mb)
                ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                | rest splunk_server_group=dmc_group_indexer /services/admin/bundles/$splunk_server$
                | fields bundle_name, checksum, id, splunk_server, upload_time
                | mvcombine splunk_server
                | sort upload_time desc
                | eval latest_common=case(mvcount(splunk_server)==[
                  | rest splunk_server_group=dmc_group_indexer /services/admin/bundles/$splunk_server$
                  | stats dc(splunk_server) AS total_server_count
                  | return $total_server_count], 
                ""found"", mvcount(splunk_server)!=[
                  | rest splunk_server_group=dmc_group_indexer /services/admin/bundles/$splunk_server$
                  | stats dc(splunk_server) AS total_server_count
                  | return $total_server_count],
                ""none"")
                | where latest_common==""found""
                | head 1
              ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  | eval upload_time=""Created at: "".(strftime(upload_time, ""%m/%d/%Y %H:%M:%S %p""))
                  | fields upload_time
                ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  | rex field=id ""(?&lt;id&gt;([^\/]+$))""
                  | eval id = ""Bundle Id: "".tostring(id)
                  | fields id
                ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  | eval checksum = ""Checksum: "".tostring(checksum)
                  | fields checksum
                ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                  | appendpipe [
                    stats count
                    | eval checksum=""No common knowledge bundle found across all peers""
                    | where count=0]
                  | fields checksum
                ",,,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundle_replication name=cycle_dispatch
                | stats count
              ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundle_replication name=cycle_dispatch
                | eval ratio = round((peer_success_count/peer_count)*100, 2)
                | stats count by ratio
                | rename ratio as ""Peer Success Ratio""
              ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
             `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundles_uploads name=peer_dispatch
              | eval repl_sec = replication_time_msec/1000
              | `dmc_timechart_for_metrics_log` avg(repl_sec) by bundle_type
            ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
               `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundle_replication name=bundle_metadata
                | eval size_mb = round(bundle_bytes /1024 / 1024, 2)
                | `dmc_timechart_for_metrics_log` avg(size_mb) by bundle_type
            ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                     `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundles_uploads name=peer_dispatch
                     | eval repl_sec = replication_time_msec/1000
                     | `dmc_timechart_for_metrics_log` avg(repl_sec) AS avg_repl_time p90(repl_sec) AS 90th_perc_repl_time p10(repl_sec) AS 10th_perc_repl_time
                  ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
                     `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=bundles_uploads name=peer_dispatch
                     | eval repl_sec = replication_time_msec/1000
                     | `dmc_timechart_for_metrics_log` limit=50 avg(repl_sec) AS avg_repl_time by peer_name
                  ","source=*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              `dmc_set_index_internal` (search_group=dmc_group_indexers OR search_group=dmc_group_search_head) source=*splunkd.log*
              (component=BundlesAdminHandler OR  component=BundleDataProcessor OR component=BundleDeltaHandler OR
              component=BundleReplicationProvider OR component=BundleStatusManager OR component=BundleTransaction OR
              component=CascadePlan OR component=CascadeReplicationReaper OR component=CascadingBundleReplicationProvider OR
              component=CascadingReplicationManager OR component=CascadingReplicationTransaction OR 
              component=CascadingReplicationStatusActor OR component=CascadingUploadHandler OR component=ClassicBundleReplicationProvider OR
              component=DistBundleRestHandler OR component=DistributedBundleReplicationManager OR
              component=GetCascadingReplicationStatusTransaction OR component=RFSManager OR component=RFSBundleReplicationProvider)
              (log_level=WARN OR log_level=ERROR)
              | timechart bins=200 partial=f count by component
            ","source=*splunkd.log*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              `dmc_set_index_internal` (search_group=dmc_group_indexers OR search_group=dmc_group_search_head) source=*splunkd.log*
              (component=BundlesAdminHandler OR  component=BundleDataProcessor OR component=BundleDeltaHandler  OR
              component=BundleReplicationProvider OR component=BundleStatusManager OR component=BundleTransaction OR
              component=CascadePlan OR component=CascadeReplicationReaper OR component=CascadingBundleReplicationProvider OR component=CascadingReplicationManager OR component=CascadingReplicationTransaction OR component=CascadingReplicationStatusActor OR component=CascadingUploadHandler OR component=ClassicBundleReplicationProvider OR component=DistBundleRestHandler OR
              component=DistributedBundleReplicationManager OR component=GetCascadingReplicationStatusTransaction OR
              component=RFSManager OR component=RFSBundleReplicationProvider)
              (log_level=WARN OR log_level=ERROR)
              | chart count by component, log_level
              | sort - ERROR, WARN
            ","source=*splunkd.log*",,"bundle_replication"
tbd,,,,,,"splunk_monitoring_console",,"
          | `dmc_get_groups_containing_role($role$)`
          | search search_group!=""dmc_group_*""
        ",,,"cascading_replication"
tbd,,,,,,"splunk_monitoring_console",,"
          | `dmc_get_instance_info($dmc_group$)`
          | where search_group=""$role$""
        ",,,"cascading_replication"
tbd,,,,,,"splunk_monitoring_console",,"
            | rest splunk_server=$splunk_server$ /services/search/distributed/bundle/replication/config
          ",,,"cascading_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              | fields replicationPolicy
              | eval replicationPolicy = upper(substr(replicationPolicy,1,1)).substr(replicationPolicy,2)
            ",,,"cascading_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              | fields replicationThreads
            ",,,"cascading_replication"
tbd,,,,,,"splunk_monitoring_console",,"
              `dmc_set_index_internal` host=$host$ source=*/metrics.log* group=cascading name=plan_metadata
               | dedup planid
               | stats count by num_levels
            ","source=*",,"cascading_replication"
